ID,ROW_ID,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
.1~616,616,02,08,02/08,6,28,88,AA-R06,Oats,Raw materials,R06,"",Oats,36400.000,KG
.1~374,374,01,17,01/17,4,17,88,AA-R06,Oats,Raw materials,R06,"",Oats,113217.500,KG
.1~594,594,02,07,02/07,6,27,88,AA-R06,Oats,Raw materials,R06,"",Oats,42451.500,KG
.1~396,396,01,18,01/18,4,18,88,AA-R06,Oats,Raw materials,R06,"",Oats,107800.000,KG
.1~572,572,02,06,02/06,6,26,88,AA-R06,Oats,Raw materials,R06,"",Oats,49951.500,KG
.1~418,418,01,19,01/19,4,19,88,AA-R06,Oats,Raw materials,R06,"",Oats,103571.475,KG
.1~550,550,02,05,02/05,5,25,88,AA-R06,Oats,Raw materials,R06,"",Oats,56468.300,KG
.1~440,440,01,20,01/20,4,20,88,AA-R06,Oats,Raw materials,R06,"",Oats,97301.400,KG
.1~528,528,02,04,02/04,5,24,88,AA-R06,Oats,Raw materials,R06,"",Oats,63759.850,KG
.1~462,462,02,01,02/01,5,21,88,AA-R06,Oats,Raw materials,R06,"",Oats,88551.400,KG
.1~506,506,02,03,02/03,5,23,88,AA-R06,Oats,Raw materials,R06,"",Oats,72509.850,KG
.1~484,484,02,02,02/02,5,22,88,AA-R06,Oats,Raw materials,R06,"",Oats,80150.000,KG
.1~44,44,01,02,01/02,1,2,88,AA-R06,Oats,Raw materials,R06,"",Oats,0.000,KG
.1~902,902,03,01,03/01,9,41,88,AA-R06,Oats,Raw materials,R06,"",Oats,26310.900,KG
.1~66,66,01,03,01/03,1,3,88,AA-R06,Oats,Raw materials,R06,"",Oats,66000.000,KG
.1~880,880,02,20,02/20,8,40,88,AA-R06,Oats,Raw materials,R06,"",Oats,32902.100,KG
.1~88,88,01,04,01/04,1,4,88,AA-R06,Oats,Raw materials,R06,"",Oats,57250.000,KG
.1~858,858,02,19,02/19,8,39,88,AA-R06,Oats,Raw materials,R06,"",Oats,40402.100,KG
.1~110,110,01,05,01/05,1,5,88,AA-R06,Oats,Raw materials,R06,"",Oats,82958.450,KG
.1~836,836,02,18,02/18,8,38,88,AA-R06,Oats,Raw materials,R06,"",Oats,47244.000,KG
.1~132,132,01,06,01/06,2,6,88,AA-R06,Oats,Raw materials,R06,"",Oats,74667.000,KG
.1~814,814,02,17,02/17,8,37,88,AA-R06,Oats,Raw materials,R06,"",Oats,55994.000,KG
.1~154,154,01,07,01/07,2,7,88,AA-R06,Oats,Raw materials,R06,"",Oats,63000.000,KG
.1~792,792,02,16,02/16,8,36,88,AA-R06,Oats,Raw materials,R06,"",Oats,64744.000,KG
.1~176,176,01,08,01/08,2,8,88,AA-R06,Oats,Raw materials,R06,"",Oats,56250.300,KG
.1~770,770,02,15,02/15,7,35,88,AA-R06,Oats,Raw materials,R06,"",Oats,68300.000,KG
.1~198,198,01,09,01/09,2,9,88,AA-R06,Oats,Raw materials,R06,"",Oats,49333.800,KG
.1~748,748,02,14,02/14,7,34,88,AA-R06,Oats,Raw materials,R06,"",Oats,71450.000,KG
.1~220,220,01,10,01/10,2,10,88,AA-R06,Oats,Raw materials,R06,"",Oats,42042.250,KG
.1~726,726,02,13,02/13,7,33,88,AA-R06,Oats,Raw materials,R06,"",Oats,14119.000,KG
.1~242,242,01,11,01/11,3,11,88,AA-R06,Oats,Raw materials,R06,"",Oats,33292.250,KG
.1~264,264,01,12,01/12,3,12,88,AA-R06,Oats,Raw materials,R06,"",Oats,95650.350,KG
.1~86,86,01,04,01/04,1,4,88,AA-R04,Raisins,Raw materials,R04,"",Raisins,12000.000,KG
.1~834,834,02,18,02/18,8,38,88,AA-R04,Raisins,Raw materials,R04,"",Raisins,17400.000,KG
.1~130,130,01,06,01/06,2,6,88,AA-R04,Raisins,Raw materials,R04,"",Raisins,18000.000,KG
